the: 这/那
tablet: 平板
sofa: 沙发
devon: 德文郡（等于Devon shire
mist: 雾
brigade: 旅
headmaster: 校长
retreat: 休息寓所
minus: 负号
sweater: 毛衣
favorable: 有利的
inappropriate: 不适当的
insufficient: 不够的
rubber: 橡皮
conform: 使一致
rehabilitation: 复原
denmark: 丹麦
philosopher: 哲学家
accountability: 负有责任
mistress: 主妇
max: 最大
vocabulary: 词汇
reproduction: 再现
overwhelm: 淹没
printing: 印刷
gravel: 砂砾
spark: 火花
austria: 奥地利
fatigue: 疲乏
quarry: 采石场
ironically: 冷嘲地
noble: 贵族
mathematical: 数学的
speculate: 深思
samuel: 撒母耳
marker: 作记号的人
gospel: 福音
preach: 传道
surplus: 剩余
somerset: 有衬垫的马鞍
blond: 金发的
monk: 修道士
confession: 承认
caravan: 旅行队
cylinder: 圆筒
archive: 把...存档
garment: 衣服
textile: 纺织品
trauma: 外伤
surveillance: 监视
woodland: 林区
disturbing: 引起烦恼的
vienna: 维也纳
technician: 技师
counselling: 评议
neighboring: 附近的
testament: 遗嘱
devastating: 毁灭性的
pence: copper便士
soak: 浸
ribbon: 缎带
harvest: 收获
les: 发射脱离系统
carter: 运货马车夫
dragon: 龙
slot: 水沟
negligence: 疏忽
ron: 研究法辛烷值
consecutive: 连续的
spy: 间谍
coordinate: 同等的人
lace: 饰带
harvey: 哈维
nutrient: 营养的
inherent: 固有的
citizenship: 国籍
selective: 选择的
sovereignty: 主权
exploitation: 开发
dependence: 依赖
clutch: 抓紧
frustrate: 挫败
joyce: 乔伊斯
contributor: 贡献者
derby: 德比
explicitly: 明确地
transit: 经过
borrowing: 借款
maxwell: 麦克斯韦
unidentified: 未被认出的
configuration: 结构
sufferer: 受难者
dense: 密集的
intermediate: 中间物
articulate: 发音清晰的
l: 见习驾驶员
sunny: 阳光充足的
craig: 克雷格
swell: 增大
preston: 普勒斯顿（男子名
shorts: 短裤
managerial: 管理的
soften: 变柔软
accusation: 控告
pete: 皮特（等于Peter
bride: 新娘
guinness: 吉尼斯黑啤酒
wimbledon: 温布尔登[英国英格兰东南部城市](位于伦敦附近
barnes: 巴尔内斯
cue: 提示
biography: 传记
rover: 漂泊者
edwards: 爱德华兹
straighten: 弄直
ali: 异步线路接口
compelling: 强制的
greater: 大的
linear: 线的
exemption: 解除
kim: 金姆
troubled: 烦恼的
economically: 节约地
membrane: 薄膜
erosion: 腐蚀
lordship: 贵族身分
foreigner: 外国人
willie: 威利（男子名
balanced: 公平的
motif: 主题
lisa: 丽莎
utterance: 发声
ace: 幺点
convenience: 方便
promoter: 促进者
weave: 编法
sustainable: 足可支撑的
telecommunication: 电讯
probe: 探索
ozone: 新鲜的空气
bolt: 门闩
eec: 欧洲经济共同体
learner: 学习者
bulb: 球茎
sophie: 索菲
molecular: 分子的
tel: 试验仪器清单
cargo: 货物
guerrilla: 游击队
sara: 萨拉族
ft: 英尺
narrator: 讲述者
calcium: 钙
gabriel: 加百利
organized: 有组织的
privatisation: 私有化
missionary: 传教士
node: 节
reactor: 反应者
fog: 雾
semantic: 语义的
br: 总线请求
sometime: 以前的
isabel: 伊莎贝尔
yep: 是
serum: 浆液
diplomat: 外交官
easier: 更简单
epidemic: 传染病
trim: 整齐
presume: 假定
permanently: 永久
butterfly: 蝴蝶
divert: 转移
accelerate: 加速
convincing: 使人信服的
bargain: 交易
nationwide: 全国性的
ideally: 完美地
vacuum: 真空
creek: 小溪
renew: 使更新
spit: 唾液
parcel: 包裹
crossing: 横越
sensor: 传感器
stereotype: 铅版
kneel: 跪下
laundry: 洗衣店
revise: 校订
pistol: 手枪
apology: 道歉
sketch: 素描
bore: 令人讨厌的人
respectable: 值得尊重的
beloved: 心爱的
relieved: 宽慰的
pronounce: 发音
dislike: 嫌恶
website: 网站
chopped: 砍
sickness: 疾病
obey: 服从
retrieve: 取回
bomber: 轰炸机
fond: 喜欢的
hammer: 锤
smoking: 抽烟
bizarre: 奇异的
nominate: 提名
queue: 辫子
anchor: 锚
skeptical: 怀疑论的
scrutiny: 细看
alert: 警觉的
considering: 就...而论
redundant: 多余的
decisive: 决定性的
confirmation: 证实
tech: 技术学院或学校
betray: 出卖
telegraph: 电报
consistency: 坚硬性
recorder: 记录员
polite: 有礼貌的
foolish: 愚蠢的
interactive: 相互作用的
static: 静电
intake: 入口
loser: 失败者
challenging: 挑战的
cleaning: 清洁
complication: 复杂化
critique: 评论文章
skiing: 滑雪运动
aboard: 在船上
unaware: 未认识到的
delicious: 美味的
lengthy: 冗长的
compassion: 同情
fashionable: 时髦的
devoted: 投入的
congregation: 集合
mercy: 仁慈
beautifully: 美好地
worm: 虫
iranian: 伊朗的
competent: 能干的
marijuana: 大麻
accumulate: 积聚
legendary: 传说的
militia: 义勇军
authentic: 可靠的
tenure: 享有
dome: 圆顶
editorial: 社论
locker: 抽屉
surroundings: 环境
follower: 从者
faithful: 忠实的
wit: 机智
haunt: 常到的地方
spectacle: 引人羡慕的东西
respective: 分别的
probable: 很可能的
sheriff: 郡治安官
miserable: 悲惨的
dual: 双重的
evoke: 唤起
comparatively: 比较地
backing: 后退
pal: 朋友
affirmative: 肯定的
surrender: 交出
scar: 疤痕
unconscious: 未意识到的
surviving: 继续存在的
variance: 不一致
multiply: 繁殖
surge: 巨涌
amateur: 业余爱好者
sailor: 水手
appraisal: 评价
commentary: 注释
cleaner: 清洁工人
chemist: 化学家
penetrate: 穿透
spectator: 观众
ranking: 等级
outlook: 观点
fuck: 与...性交
cheerful: 快活的
hover: 盘旋
attain: 达到
stunning: 打昏迷的
orthodox: 正统的
trout: 鲑鱼
frighten: 使惊吓
cowboy: 牛仔
disagreement: 不合
latino: 拉丁美洲人
snatch: 抢夺
viable: 能养活的
precision: 精密
countless: 数不尽的
swiftly: 很快地
selling: 卖的
upcoming: 即将来临的
virginia: 弗吉尼亚
exert: 发挥
ninth: 第九
outbreak: 爆发
knot: 结
lyrics: 歌词
strive: 努力
gambling: 赌博
harold: 哈罗德
spur: 马刺
warfare: 战争
mound: 土墩
tilt: 倾斜
propaganda: 宣传
rob: 抢夺
herbert: 赫伯特
advocacy: 拥护
biologist: 生物学家
du: 定义使用
territorial: 领土的
baron: 男爵
antibiotic: 抗生素
prosperity: 繁荣
turner: 车工
inland: 内陆的
los: 月球轨道航天器
creator: 上帝
exile: 放逐
weep: 哭
implicit: 暗示的
architectural: 有关建筑的
prosecute: 告发
lancaster: 兰开斯特
choir: 唱诗班
glow: 赤热
embody: 具体表达
precedent: 先例
unacceptable: 无法接受的
integral: 整体
horizontal: 水平线
cooper: 制桶工人
fake: 假货
bradford: 布拉德福德
crab: 螃蟹
viewpoint: 观点
hydrogen: 氢
seventeenth: 第十七
hampshire: 汉普郡
controller: 控制器
vinegar: 醋
boxing: 拳击
organizer: 组织者
inhibit: 禁止
inability: 无能
specialise: 特加指明
watson: 沃森
murderer: 凶手
alfred: 阿尔佛雷德
hopeful: 有希望之人
ralph: 拉尔夫
mandatory: 命令的
surveyor: 测量员
adverse: 不利的
dive: 潜水
trevor: 特雷弗
el: 预期损失
soda: 苏打
bass: 低沉的声音
des: 数据加密标准
valve: 活瓣
shiny: 有光泽的
memo: 备忘录
suffolk: 萨福克
junk: 垃圾
santa: 圣诞老人
revival: 复兴
stun: 使昏迷
sponsorship: 发起
reconstruction: 改造
phillips: 飞利浦
poorly: 贫穷地
fury: 愤怒
differentiate: 区别
warming: 暖和
southampton: 南安普敦
curl: 拳曲
colored: 染色的
compatible: 能共处的
corpse: 尸体
abruptly: 突然地
tommy: 配给面包
pact: 契约
silently: 默默地
gothic: 哥特风格
canterbury: 坎特伯雷
predominantly: 主要地
torch: 火把
kidney: 肾
knight: 骑士
documentation: 文件
coventry: 考文垂
dorothy: 桃乐茜
inclusion: 包含
booklet: 小册子
healing: 治愈的
abolition: 废除
literacy: 读写能力
linda: 琳达
destiny: 命运
disclosure: 揭发
binding: 装订
bargaining: 讨价还价
solo: 独奏
fusion: 熔合物
leak: 漏洞
greenhouse: 温室
maid: 少女
trillion: 大量
corps: 军
loving: 亲爱的
fertility: 肥沃
emergence: 出现
grouping: 分组
homicide: 杀人
murray: 默里
christie: 克里斯蒂
herd: 兽群
k: 键
passionate: 热情的
biblical: 圣经的
brow: 眉毛
addiction: 入迷
wee: 很小的
eddie: 埃迪
psychiatrist: 精神病医生
pipeline: 管道
hood: 头巾
specified: 规定的
steven: 史蒂文
summarise: 概括
baking: 烘焙
tariff: 关税
subjective: 主观的
census: 户口普查
snack: 小吃
ending: 终止
mozart: 莫扎特
mps: 微处理机系统
migrant: 候鸟
stride: 大步
synthesis: 综合
ink: 墨水
ipswich: 伊普斯威奇
homeowner: 私房屋主
adaptation: 适应
gasp: 喘气
geoff: 杰夫
imagery: 肖像
eleanor: 埃莉诺
pledge: 诺言
min: 部长
infect: 传染
marxist: 马克思主义的
paradigm: 范例
locomotive: 火车头
backward: 向后地
yarn: 纱
appetite: 食欲
shiver: 颤抖
offend: 犯罪
ch: 改变
debtor: 债务人
romania: 罗马尼亚
referral: 参照
condom: 避孕套
gould: 古尔德
mosaic: 马赛克
mammal: 哺乳动物
juliet: 朱丽叶
litigation: 诉讼
spatial: 空间的
comet: 彗星
bleed: 流血
causal: 原因的
shelley: 谢莉
cocktail: 鸡尾酒
enzyme: 酶
choke: 窒息
lothian: 洛锡安区[英国苏格兰行政区名]
bile: 胆汁
ensemble: 全体
lamont: 拉蒙特
pesticide: 杀虫剂
arsenal: 兵工厂
pea: 豌豆
maastricht: 马斯特里赫特
constance: 康士坦茨湖
polymer: 聚合物
preservation: 保存
rotation: 旋转
yeltsin: 叶利钦
carrie: 卡丽（女名
cautious: 谨慎的
intel: 美国英特尔公司（财富500强公司之一
robyn: 人名
affordable: 普及型
rising: 上升
luxury: 奢侈
tenth: 第十
designate: 指定
visiting: 参观
embarrassing: 令人为难的
robe: 宽松长袍
noisy: 嘈杂的
cult: 膜拜
incidentally: 伴随地
classmate: 同班同学
appalling: 骇人的
cassette: 盒式磁带
motel: 汽车旅馆
hatred: 憎恨
furnish: 供给
confidential: 机密的
enlist: 征募
bearing: 举止
worrying: 使人烦恼的
thorough: 十分的
ignorance: 无知
rookie: 新手
disastrous: 损失惨重的
juvenile: 少年
gown: 睡衣
individually: 以个人身分
courtesy: 礼貌
chosen: choose的过去分词
correlate: 有相互关系的东西
lodge: 小屋
daylight: 白昼
humanitarian: 人道主义者
repay: 偿还
torture: 拷问
chorus: 合唱队
roar: 吼
glorious: 光荣的
adequately: 足够地
comic: 连环漫画
supporting: 次要的
fountain: 水源
revenge: 报仇
sour: 酸的
underground: 地下
unclear: 不易了解的
endangered: 有生命危险的
passport: 护照
reside: 住
query: 疑问
preferred: 首选的
lure: 饵
coherent: 互相耦合的
nationally: 作为整个民族
erupt: 爆发
terminate: 有结尾的
ashamed: 惭愧的
loom: 织布机
repetition: 重复
majesty: 最高权威
witch: 巫婆
endorsement: 支持
triangle: 三角形
salvation: 拯救
dusty: 灰尘多的
cane: 手杖
nuisance: 讨厌的东西
inflict: 施以
rap: 轻敲
forge: 熔炉
surgical: 外科的
aging: 老化
disrupt: 分裂的
breakthrough: 突破
liaison: 联络
delightful: 令人愉快的
specialized: 专门的
colourful: 颜色丰富的
odor: 气味
englishman: 英国人
apologise: 道歉
newcomer: 新来者
lobbyist: 说客
apparatus: 装置
wicked: 坏的
postpone: 延迟
warrant: 授权
resentment: 怨恨
dinosaur: 恐龙
gradual: 逐渐的
excite: 刺激
quotation: 引用语
renewed: 复兴的
banner: 旗帜
injured: 受伤的
insider: 内部的人
bitterly: 怨恨地
flock: 兽群
assertion: 断言
ted: 翻晒
cheshire: 柴郡
pier: 码头
sincerely: 真诚地
efficiently: 生效
payroll: 工资名单
freshly: 新
grim: 冷酷的
winning: 胜利
bead: 珠子
arbitrary: 任意的
drought: 干旱
sporting: 喜好运动的
uphold: 支撑
portugal: 葡萄牙
amusement: 兴味
formidable: 巨大的
hazardous: 危险的
clarity: 清楚
unchanged: 无变化的
believer: 信徒
dressing: 调味品
wireless: 无线电
proceedings: 诉讼
renewal: 更新
rebellion: 谋反
bin: 容器
frog: 青蛙
grind: 磨
elected: 选举
parker: 停放车辆的人
keyboard: 键盘
vanilla: 香草
wounded: 受伤的
lone: 孤单的
insure: 保险
shotgun: 散弹猎枪
graphic: 生动的
mainland: 大陆
subway: 地铁
descent: 降落
deficiency: 缺乏
transplant: 使移居
explosive: 炸药
pudding: 布丁
illuminate: 照明
congressman: 国会议员
adjacent: 毗连的
nazi: 纳粹党人
collins: 柯林斯酒
evolutionary: 展开的
analogy: 相似
grill: 烤架
angeles: 安杰利斯
innocence: 无罪
flaw: 缺点
locality: 地方
pony: 矮种马
optimism: 乐观主义
balcony: 阳台
skinny: 似皮的
folly: 愚蠢
regression: 退步
jointly: 共同地
burial: 埋葬
posture: 姿势
ambiguity: 不明确
demon: 魔鬼
stab: 刺
viking: 海盗
chicago: 芝加哥
flick: 快速的轻打
rehearsal: 预演
invoke: 祈求
solidarity: 团结
repayment: 付还
discard: 丢弃
flush: 流溢
carl: 卡尔
angela: 安吉拉
tub: 桶
reservoir: 贮水池
sunni: 〈伊斯兰〉逊尼派教徒
czechoslovakia: 捷克斯洛伐克
theirs: 他们的
landowner: 地主
wardrobe: 衣橱
abundance: 丰富
calf: 小牛
rev: 一次回转
hull: 壳
renaissance: 复活
lime: 石灰
psychiatric: 精神病学的
attendant: 随从
gilbert: 吉尔伯特
fulfill: 实践
dominance: 优势
ethnicity: 种族划分
assassination: 暗杀
macdonald: 麦克唐纳
geographic: 地理的
strawberry: 草莓
atomic: 原子的
crying: 叫喊的
loudly: 高声地
portable: 可携带的
reynolds: 雷诺兹
environmentalist: 环保人士
subscription: 捐献
staircase: 楼梯
moisture: 湿气
parenting: 父母对子女的养育
ironic: 冷嘲的
superintendent: 监督人
protestant: 新教徒
rattle: 使嘎嘎响
fridge: 电冰箱
shatter: 碎片
sniff: 以鼻吸气
startle: 惊愕
gorgeous: 华丽的
variant: 变体
tease: 揶揄
stool: 凳子
memorandum: 备忘录
waiter: 侍者
formulation: 系统陈述
butler: 男管家
vow: 誓约
semester: 学期
disciplinary: 训练的
angrily: 愤怒地
christine: 克莉丝汀
electorate: 选民
jam: 果酱
chester: 切斯特
hometown: 故乡
marcus: 马库斯
tumble: 跌倒
blake: 布莱克
financially: 金融上
tokyo: 东京
statistically: 用统计的方法
accused: 被告
backup: 倒车
claire: 克莱儿
detector: 发现者
annie: 安妮
ed: 电子设备
ashley: 艾希莉
n: 负的
rotate: 辐状的
madame: 夫人
recount: 详述
decree: 法令
athens: 雅典
spotlight: 照明灯
alpha: 希腊字母表的第一个字母
bladder: 膀胱
settler: 移民者
richards: 理查兹
unionist: 工会会员
copyright: 版权
exclaim: 大叫
scrape: 刮
autonomous: 自治的
trent: 特伦特
darwin: 达尔文
optical: 眼睛的
reagan: 里根
methodology: 方法学
katherine: 凯瑟琳
nicholson: 尼科尔森
merseyside: 默西赛德郡
chapman: 流动商贩
bump: 撞击
paula: 保拉
aggregate: 合计
hereford: 赫里福德食用牛
sadness: 悲哀
jason: 詹森
lebanon: 黎巴嫩
glare: 闪耀光
amnesty: 大赦
firefighter: <美>消防队员
sediment: 沉淀物
mainframe: 主机
hp: 马力
egyptian: 埃及人
ml: 法学硕士
shah: 沙
imf: 国际货币基金组织
claudia: 克劳迪娅
modem: 调制解调器
lexical: 字典的
blanche: 布兰奇
mucosa: 粘膜
conceptual: 概念的
yo: 唷（表示鼓励
pylorus: 幽门
technically: 技术上
visa: 签证
whatsoever: 无论什么
coincidence: 巧合
overhead: 经常开支
eve: 前夕
goose: 鹅
demolish: 毁坏
fireplace: 壁炉
peach: 桃子
summarize: 概述
nurture: 养育
tread: 踏
caribbean: 加勒比海
scrap: 碎片
vivid: 生动的
warden: 典狱官
frightening: 令人恐惧的
promptly: 敏捷地
poison: 毒药
indulge: 纵情于
disguise: 假面目
repeated: 重复的
privileged: 有特权的
flourish: 繁荣
rocky: 岩石的
umbrella: 伞
smoothly: 平滑地
enjoyment: 享乐
attachment: 连接
underneath: 在下面
batch: 一次所烘的面包
spider: 蜘蛛
labourer: 劳动者
obsession: 困扰
problematic: 成问题的
vigorous: 精力充沛的
nutrition: 营养
pillar: 柱子
obscure: 模糊的
accepted: 公认的
melody: 曲子
restrain: 抑制
paradise: 天堂
eventual: 最后的
physicist: 物理学家
duly: 恰当地
maple: 枫
controlled: 受约束的
memoir: 传记
salesman: 售货员
cultivate: 培养
agony: 极大的痛苦
waiting: 等候
inject: 注射
microphone: 扩音器
bracket: 支架
goodbye: 再见
realization: 实现
aluminium: 铝
meadow: 草地
unreasonable: 不合理的
cherry: 樱桃
eldest: 最年长的
defy: 藐视
unwilling: 不愿意的
magical: 魔术的
plug: 塞子
reconcile: 使和解
nicely: 漂亮地
wallet: 皮夹
uneasy: 心神不安的
lunchtime: 午餐时间
fundamentally: 基础
accord: 一致
heap: 堆
wildly: 狂暴地
axis: 轴
bundle: 捆
applause: 鼓掌
spontaneous: 自然的
reluctantly: 不情愿地
suitcase: 手提箱
evenly: 平衡地
vaguely: 含糊地
clearance: 清除
unusually: 不寻常地
financing: 融资
reluctance: 不情愿
harder: 更难的
presently: 目前
admiration: 赞赏
fried: 油炸的
simplicity: 单纯
disappointing: 使失望的
quantum: 量
con: 精读
picnic: 野餐
mighty: 有势力的人
heath: 石南荒原
gardening: 园艺
nationalism: 民族主义
eternal: 永恒的
feast: 宴会
indictment: 起诉
mould: 模子
dairy: 牛奶公司
interpreter: 直译程序
al: 算法语言
morale: 士气
collision: 碰撞
dash: 冲撞
verify: 证明
encompass: 围绕
rude: 粗鲁无礼的
clan: 氏族
agreed: 同意的
diplomacy: 外交
mat: 垫
swedish: 瑞典人
spice: 香料
skillet: 煮锅
arnold: 阿诺德
fairy: 仙女
hop: 单脚跳
windsor: 温莎（地名
bitch: 母狗
peat: 泥煤
unsuccessful: 不成功的
imaginative: 想像的
instrumental: 仪器的
aftermath: 结果
wartime: 战时
astronaut: 太空旅行者
prolonged: 延续的
outset: 着手
crust: 外壳
prestige: 声望
altar: 圣坛
flu: 流感
sausage: 香肠
notify: 通知
millennium: 千禧年
lieutenant: 中尉
mosquito: 蚊子
reasoning: 推论
listing: 列表
applied: 应用的
intimacy: 亲密
pottery: 陶器
nationality: 国籍
thoughtful: 深思的
trench: 渠
vine: 藤本植物
absurd: 荒谬的
principally: 主要地
simulation: 模拟
disruption: 分裂
awaken: 唤醒
linen: 亚麻布
indirectly: 间接
strangely: 奇妙地
outrage: 暴行
constrain: 强迫
nun: 修女
shaw: 杂木林
broth: 原汁清汤
julian: 尤利乌斯恺撒的
optional: 可选择的
shilling: 先令
aloud: 出声地
puzzled: 困惑的
dangle: 摇晃地悬挂着
cigar: 雪茄
jealous: 嫉妒的
texas: 德克萨斯
haven: 港
rainbow: 彩虹
offset: 抵消
constructive: 建设性的
complement: 补足物
jerk: 性情古怪的人
janet: 英国大学联合科学网
vicar: 教区牧师
competing: 相互矛盾的
mob: 暴民
recreation: 娱乐
wells: 威尔斯
enthusiast: 热心家
harrison: 哈里森（男子名
liquor: 酒
packaging: 包装
accountable: 负有责任的
gerald: 杰拉尔德（男子名
affirm: 断言
sip: 啜饮
venice: 威尼斯
sailing: 航行
drainage: 排水
span: 指距
mills: 米尔斯
lifelong: 终身的
restricted: 受限制的
linger: 逗留
applaud: 拍手喝彩
gloom: 忧郁
stabilize: 使安定
chimney: 烟囱
cube: 立方体
harbor: 港
litre: 升
nelson: 肩下握颈
swiss: 瑞士人
sydney: 悉尼
fax: 传真
offspring: 子孙
lincoln: 林肯
carol: 颂歌
guild: 团体
preacher: 传道士
dim: 暗淡的
footstep: 脚步
milan: 米兰
catering: 给养
facial: 美颜
plantation: 种植园
blackpool: 黑潭
predictable: 可预言的
sunset: 日落
residue: 残渣
housewife: 主妇
monarch: 帝王
nearest: 最近的
manipulation: 操作
proponent: 建议者
vietnamese: 越南人
antique: 古董
pasture: 牧场
bulletin: 公告
richmond: 里士满
sweeping: 扫除
mitchell: 米切尔（男子名
saudi: 沙乌地阿拉伯的
toast: 吐司
courtyard: 庭院
skate: 溜冰
cough: 咳嗽
fabulous: 传说的
communism: 共产主义
legitimacy: 合法
intersection: 交集
curse: 咒骂
freight: 船货
singapore: 新加坡
clive: 克莱夫
culturally: 从文化角度
asylum: 庇护
injunction: 命令
ma'am: 夫人
reconciliation: 和解
armchair: 扶手椅
adams: 先进数据管理系统
impairment: 削弱
treasurer: 会计
mug: 有柄大杯
geneva: 日内瓦
maths: 数学
authorise: 授权
erase: 抹去
socket: 窝
disco: 夜总会
stain: 污染
shave: 修面
spelling: 拼
ram: 公羊
brewery: 啤酒厂
coaching: 辅导
telecom: telecommunication 电信
chord: 弦
kettle: 茶壶
armor: 盔甲
von: 冯·诺伊曼
sixteenth: 第十六
approved: 被认可的
kenya: 肯尼亚
dan: 段
wetland: 湿地
governing: 调节
skier: 滑雪的人
reverend: 教士
coral: 珊瑚
playground: 运动场
delete: 删除
cellular: 细胞的
handicapped: 残疾的
underlie: 位于...之下
murphy: 马铃薯
brandy: 白兰地酒
mosque: 清真寺
closing: 结束
excellence: 优秀
counsellor: 顾问
recycle: 使再循环
maurice: 莫里斯
par: 标准
harmful: 有害的
ant: 蚂蚁
jacques: 雅克
ministerial: 部长的
feminine: 女性的
symphony: 交响乐
tuition: 学费
destructive: 毁灭性的
gregory: 格雷戈里（男子名
absorption: 吸收
governmental: 政治的
inhibition: 禁止
accumulation: 积聚
niche: 壁龛
inexpensive: 便宜的
ryan: 赖安
sleeping: 睡眠
ellis: 埃利斯（男子名
minimise: 使减到最少/最小
supplementary: 补足的
terrify: 使恐惧
vegetation: 植物
monarchy: 君主政体
argentina: 阿根廷
bark: 树皮
denis: 丹尼斯
fascinate: 令人入神
wallace: 华莱士
bowler: 玩滚球的人
default: 违约
generator: 产生器
cafe: 咖啡馆
licensing: 许可
adjective: 形容词
failed: 已失败的
allan: 艾伦（男子名
underscore: 划线于...下
richardson: 理查森
fraser: 弗雷则河
jerusalem: 耶路撒冷
prop: 支柱
microwave: 微波
sheila: 姑娘
newman: 牛曼
bourgeois: 中产阶级分子
corrupt: 腐败的
distributor: 分发者
hemisphere: 半球
bobby: 警察
nucleus: 核心
wan: 苍白的
gibson: 吉布森
leonard: 伦纳德
dawson: 道森
arabia: 阿拉伯半岛
thrill: 震颤
heroin: 海洛因
keynes: 凯恩斯
knitting: 编结
sean: 肖恩
sri: 斯里兰卡
wembley: 文布利
reproductive: 生殖的
bout: 一回
stirling: 斯特灵（英国苏格兰中部城市
holly: 冬青树
laptop: 膝上型的
setup: 装备
kite: 风筝
behavioural: 行为的
cleanup: 清除
organisational: organise的变形
vocational: 职业的
prague: 布拉格
geological: 地质学的
runway: 跑道
cone: 圆锥体
northampton: 北安普敦
restructuring: 重构的
stroll: 闲逛
nationalist: 国家主义者
nitrogen: 氮
reid: 里德（等于Read
theorist: 理论家
jockey: 赛马骑师
transparent: 透明的
forestry: 林学
rebound: 弹回
lineup: 阵容
saying: 叙述
velocity: 速度
cameron: 卡梅伦/隆
baldwin: 鲍尔温苹果
attainment: 达到
endeavor: 努力
ferguson: 弗格森
bp: 碱基对
easter: 复活节
intriguing: 吸引人的
lb: 磅
aviation: 航空
maximize: 取...最大值
advisor: 顾问
voltage: 电压
para: 帕拉
footage: 英尺长度
lender: 出借人
substantive: 表示实在的
hectare: 公顷
ellen: 埃伦
gall: 胆汁
grammatical: 语法的
prevalence: 普遍
franco: 免费的
plasma: 血浆
strap: 带
vector: 矢量
gaulle: 高尔
unfamiliar: 不熟悉的
conductor: 领导者
receptor: 受体
aquarium: 水族馆
secretion: 分泌
rory: 罗里
bosnia: 波斯尼亚
toddler: 蹒跚行走的人
meredith: 梅雷迪思
hartlepool: 哈特尔普尔[英国英格兰东北部港市]
anc: 非洲民族会议
logo: 连合活字
rna: 核糖核酸
intensify: 加强
melissa: │蜜蜂花
biopsy: 活组织检查
arc: 弧
colitis: 结肠炎
sway: 摇摆
whichever: 无论那一个
vicious: 邪恶的
exaggerate: 夸大
upgrade: 上坡
postwar: 战后的
travelling: 旅行的
continuously: 不断地
manifest: 载货单
overtake: 赶上
distort: 扭曲
sophomore: 二年级生
recreational: 消遣的
ruine: 路因碱
entertaining: 使人愉快的
lick: 舔
educated: 受过教育的
revert: 恢复
align: 排列
doing: 行为
trivial: 琐碎的
idiot: 白痴
resent: 愤恨
courthouse: 法院
precaution: 预防
additionally: 另外
freezing: 冰冻的
sitting: 入席
vulnerability: 易受伤
fairness: 晴朗
skeleton: 骨骼
slash: 猛砍
swap: 以货易货
diner: 用餐者
exceptionally: 特殊地
urgency: 紧急
finely: 雅致地
comfortably: 安乐地
bleak: 萧瑟的
amazed: 吃惊的
artery: 动脉
tense: 紧张的
curator: 管理者
postcard: 明信片
correction: 订正
inferior: 次等的
acquaintance: 认识
grower: 栽培者
humble: 低下的
broadway: 百老汇大街
gum: 树胶
baseline: 基线
fishery: 渔业
audio: 音频的
deter: 制止
coefficient: 系数
tick: 滴答声
cosmic: 宇宙的
swift: 褐雨燕
handy: 便利的
disperse: 分散
darke: 达克 Dark的变体
ponder: 沉思
complicate: 弄复杂
rag: 碎布
sanctuary: 圣所
denounce: 告发
beating: 打
chalk: 粉笔
ascertain: 确定
expel: 驱逐
clerical: 牧师
credible: 可信的
pedestrian: 行人
tuna: 金枪鱼
astonishing: 令人惊讶的
recycling: 再循环
unexpectedly: 想不到的
simmer: 煨
kindly: 和蔼的
hobby: 嗜好
enjoyable: 可从中得到乐趣的
mattress: 床垫
battlefield: 战场
wary: 谨慎的
signify: 象征
saturated: 饱和的
decay: 衰退
embed: 使插入
paid: 受雇的
staffer: 职员
hostel: 青年招待所
cereal: 谷类食品
robbery: 抢掠
gallon: 加仑
memorable: 值得纪念的
wording: 用词
floating: 漂浮的
congratulate: 祝贺
prostitute: 妓女
drip: 水滴
urgently: 急切地
clove: 丁香
notorious: 声名狼藉的
shocking: 令人震惊的
doubtless: 无疑的
elevate: 举起
loosen: 放松
forced: 被迫的
predictor: 预言者
conflicting: 冲突的
lottery: 奖券
chore: 零工
cellar: 地窖
shopper: 购物者
monastery: 修道院
fiercely: 猛烈地
tattoo: 归营号
procession: 队伍
ageing: 变老
royalty: 皇室
marks: 标记
telecommunications: 电信
honourable: 值得尊敬的
sticky: 粘的
appliance: 器械
non: 非
circus: 马戏团
infinite: 无限
gauge: 标准度量
plaster: 石膏
gossip: 闲聊
rationale: 基本原理
apprentice: 学徒
proprietor: 所有者
inhabit: 居住于
pigeon: 鸽子
hospitality: 款待
injustice: 不公平
dentist: 牙科医生
deprivation: 剥夺
attempted: 企图的
excerpt: 摘录
detain: 扣留
motorcycle: 摩托车
florence: 佛罗伦萨
soy: 酱油
armour: 甲胄
miniature: 缩图
insurer: 保险公司
solitary: 独居者
oversight: 勘漏
dub: 配音
desired: 渴望的
damaging: 破坏性的
reunion: 团圆
curiously: 好奇地
ripe: 成熟的
terrified: 受惊吓的
photographic: 照相的
unbelievable: 难以置信的
trolley: 电车
coordination: 同等
jewel: 珠宝
slogan: 呐喊声
outrageous: 暴虐的
nominal: 名义上的
overly: 过度地
halloween: 万圣节前夕
hen: 母鸡
buffalo: 水牛
perch: 栖木
tract: 大片土地
shrine: 圣地
bureaucratic: 官僚的
disposition: 性情
beneficiary: 受惠者
mold: 模子
appropriately: 适当的
nickname: 绰号
addict: 使沉溺
siege: 包围
cushion: 垫子
dial: 刻度盘
bacon: 熏猪肉
danish: 丹麦文
jeremy: 杰里米
mustard: 芥末
berry: 浆果
ramp: 斜坡
advert: 提出看法
villager: 村民
watercolor: 水彩颜料
bailey: 城郭
hail: 冰雹
